Record_ID,Title,Author,Journal,Year,DOI,Retraction_Date,Reason
1,RETRACTED: Cross-Cultural communication of language learning social software based on FPGA and transfer learning,"Zang, Shengnan",Microprocessors and Microsystems,2021,10.1016/j.micpro.2020.103768,2026-01-15,See publisher notice
2,RETRACTED: Research on the spread effect of data recording sports app on outdoor running group,"Liang, Feng",Microprocessors and Microsystems,2021,10.1016/j.micpro.2021.103927,2026-01-15,See publisher notice
3,RETRACTED: Development of financial option pricing system based on fpga and machine learning,"Yu, Xisheng",Microprocessors and Microsystems,2021,10.1016/j.micpro.2020.103708,2026-01-15,See publisher notice
4,RETRACTED: Microprocessor in vitro simulation system applied to the separation of intestinal flora and fermented food microorganisms,"Lyu, Yuhong",Microprocessors and Microsystems,2021,10.1016/j.micpro.2021.104006,2026-01-15,See publisher notice
5,WITHDRAWN: Mitigation of voltage sag/swell by dynamic voltage restorer using fuzzy based particle swarm controller,"Sudharani, S.",Materials Today: Proceedings,2021,10.1016/j.matpr.2020.11.609,2025-11-01,See publisher notice
6,RETRACTED: Comparative study of structural and optical behavior of Er3+ doped Y2SiO5 phosphor prepared by different methods,"Upadhyay, Kanchan",Materials Science and Engineering: B,2022,10.1016/j.mseb.2021.115511,2025-11-05,See publisher notice
7,WITHDRAWN: The role of cobalt on cathode material for intermediate temperature solid oxide fuel cells: A review,"Shen, Minghai",International Journal of Hydrogen Energy,2022,10.1016/j.ijhydene.2022.01.206,2025-10-05,See publisher notice
8,Retraction notice to “Development of curcumin-loaded silk fibroin nanoparticles as drug delivery vehicle for the treatment of ischemic stroke for patients in nursing care in hospitals” [J. Drug Deliv. Sci. Technol. 55 (2020) 101360],"Zhang, Liang",Journal of Drug Delivery Science and Technology,2021,10.1016/j.jddst.2020.102187,2025-10-29,See publisher notice
9,WITHDRAWN: Evolving Practice Trends of Aortic Root Surgery in North America,"Caceres, Manuel",The Annals of Thoracic Surgery,2014,10.1016/j.athoracsur.2014.07.053,2025-09-13,See publisher notice
10,[Retracted] SMAD specific E3 ubiquitin protein ligase 1 promotes ovarian cancer cell migration and invasion via the activation of the RhoA/ROCK signaling pathway,"Wang, Wei",Oncology Reports,2025,10.3892/or.2025.8938,2025-06-30,See publisher notice
11,"RETRACTED: Experimental investigations of oxidation stability of biodiesel produced from Prunus armeniaca oil (apricot oil) and effect of various antioxidants on stability, engine performance and emissions","Kumar, Santosh",Fuel,2018,10.1016/j.fuel.2017.11.147,2025-09-16,See publisher notice
12,[Retracted] Fbxw7 regulates hepatocellular carcinoma migration and invasion via Notch1 signaling pathway,"Wang, Xing",International Journal of Oncology,2025,10.3892/ijo.2025.5763,2025-06-16,See publisher notice
13,WITHDRAWN: Evaluation of safety distance for blast of hybrid rocket propellants,"Takahashi, Akiyo",Fire Safety Journal,2020,10.1016/j.firesaf.2020.103145,2025-10-07,See publisher notice
14,RETRACTED: Delivering power system transition in China,"Yuan, Jiahai",Energy Policy,2012,10.1016/j.enpol.2012.08.024,2025-10-04,See publisher notice
15,RETRACTED: Influence of prolonged cardiopulmonary bypass times on splanchnic perfusion and markers of splanchnic organ function,"Kumle, Bernhard",The Annals of Thoracic Surgery,2003,10.1016/s0003-4975(02)04903-2,2025-09-13,See publisher notice
16,Retraction of “Flexible and Microporous Chitosan Hydrogel/Nano ZnO Composite Bandages for Wound Dressing: In Vitro and In Vivo Evaluation”,"Kumar, P. T. Sudheesh",ACS Applied Materials &amp; Interfaces,2019,10.1021/acsami.9b11759,2023-04-28,See publisher notice
17,WITHDRAWN: Control and stability of micro grids during transient states,"Raju, L. Bangar",Materials Today: Proceedings,2021,10.1016/j.matpr.2020.11.057,2025-11-01,See publisher notice
18,Statement of Retraction: The negation of a probability distribution: A generalized approach,,Cybernetics and Systems,2026,10.1080/01969722.2025.2608458,2026-01-10,See publisher notice
19,"RETRACTED: Exploring synergies between lean construction theory and industry 4.0 technologies in the architectural, engineering and construction industry: A people, process, technology perspective","Zhan, Shen",Results in Engineering,2022,10.1016/j.rineng.2022.100405,2025-11-12,See publisher notice
20,RETRACTED: Investigating the Factors Affecting Information and Communication Technology (ICT) Usage of Turkish Students in PISA 2009,"Gumus, Sedat",Procedia - Social and Behavioral Sciences,2012,10.1016/j.sbspro.2012.11.026,2025-10-29,See publisher notice
21,RETRACTED: Sports and health big data system based on 5G network and Internet of Things system,"Zhan, Kai",Microprocessors and Microsystems,2021,10.1016/j.micpro.2020.103363,2024-07-10,See publisher notice
22,RETRACTED: miR-221&amp;222 Regulate TRAIL Resistance and Enhance Tumorigenicity through PTEN and TIMP3 Downregulation,"Garofalo, Michela",Cancer Cell,2009,10.1016/j.ccr.2009.10.014,2025-10-26,See publisher notice
23,RETRACTED ARTICLE: Enterprise financial risk model based on cloud computing in age of big data,"Han, Wenzhuo",Soft Computing,2023,10.1007/s00500-023-08362-y,2026-01-13,See publisher notice
24,RETRACTED ARTICLE: Periapical dental X-ray image classification using deep neural networks,"Vasdev, Dipit",Annals of Operations Research,2022,10.1007/s10479-022-04961-4,2025-04-09,See publisher notice
25,"Retraction notice to ""Bracing NK cell based therapy to relegate pulmonary inflammation in COVID-19"" [Heliyon 7 (2021) e07635]","Jeyaraman, Madhan",Heliyon,2026,10.1016/j.heliyon.2026.e44773,2026-03-26,See publisher notice
26,Notice of Violation of IEEE Publication Principles: Construction of GC-Balanced DNA With Deletion/Insertion/Mutation Error Correction for DNA Storage System,"Xue, Tianbo",IEEE Access,2020,10.1109/access.2020.3012688,2022-01-12,See publisher notice
27,"RETRACTED CHAPTER: Autism Spectrum Disorder Detection Using Transfer Learning with VGG 19, Inception V3 and DenseNet 201","Rabbi, Md. Fazlay",Communications in Computer and Information Science,2023,10.1007/978-3-031-23599-3_14,2026-01-14,See publisher notice
28,Retraction: Inhibition of Mircorna-766-5p Attenuates the Development of Cervical Cancer Through Regulating SCAI,,Technology in Cancer Research &amp; Treatment,2025,10.1177/15330338251363342,2025-08-17,See publisher notice
29,"RETRACTED: The relationship between audit committees, compensation incentives and corporate audit fees in Pakistan","Rustam, Sehrish",Economic Modelling,2013,10.1016/j.econmod.2013.01.008,2020-07-22,See publisher notice
30,"RETRACTION: “Effects of Crude Extracts from Medicinal Herbs
                    <i>Rhazya stricta</i>
                    and
                    <i>Zingiber officinale</i>
                    on Growth and Proliferation of Human Brain Cancer Cell Line In Vitro”","International, BioMed Research",BioMed Research International,2026,10.1155/bmri/9807398,2026-04-06,See publisher notice
31,"RETRACTED: Biochar production: Recent developments, applications, and challenges","Danesh, Payam",Fuel,2023,10.1016/j.fuel.2022.126889,2024-12-04,See publisher notice
32,RETRACTION: KCTD12 Promotes G1/S Transition of Breast Cancer Cell through Activating the AKT/FOXO1 Signaling,,Journal of Clinical Laboratory Analysis,2026,10.1002/jcla.70219,2026-04-07,See publisher notice
33,Notice of Retraction: Prediction and Analysis of Chinese CPI Based on RBF Neural Network,"Yu, Wang",2009 International Forum on Information Technology and Applications,2009,10.1109/ifita.2009.204,2019-06-11,See publisher notice
34,Retraction Note: Crystal Structure and Biological Activity of Two Novel Coordination Polymers as Anti-Gastric Cancer Agents,"Zhou, Q. L.",Russian Journal of Coordination Chemistry,2024,10.1134/s1070328424030023,2026-04-03,See publisher notice
35,Retraction Note: 5-Fluorouracil Trapping in a Porous Ba(II)-Organic Framework: Drug Delivery and Anti-Thyroid Cancer Activity Evaluation,"Zhang, Q. J.",Russian Journal of Coordination Chemistry,2024,10.1134/s1070328424030059,2026-04-03,See publisher notice
36,RETRACTED: USP1 Regulates Cellular Senescence by Controlling Genomic Integrity,"Ogrunc, Müge",Cell Reports,2016,10.1016/j.celrep.2016.04.033,2025-10-31,See publisher notice
37,RETRACTED: The effects of listening to healing beat music on adults’ recovery from exposure to stressful stimuli: A randomized controlled trial,"Bae, Ik-Lyul",Integrative Medicine Research,2022,10.1016/j.imr.2021.100753,2025-11-01,See publisher notice
38,RETRACTED: Sedation and anesthesia in GI endoscopy,"Lichtenstein, David R.",Gastrointestinal Endoscopy,2008,10.1016/j.gie.2008.06.002,2025-09-16,See publisher notice
39,"Retraction: ‘HOXD-AS1 confers cisplatin resistance in gastric cancer through epigenetically silencing PDCD4 via recruiting EZH2’ (2019), by Ye
                    <i>et al.</i>",,Open Biology,2023,10.1098/rsob.230322,2026-02-24,See publisher notice
40,Retraction: Pooled prevalence and determinants of modern contraceptive utilization in East Africa: A Multi-country Analysis of recent Demographic and Health Surveys,,PLOS One,2026,10.1371/journal.pone.0344523,2026-03-10,See publisher notice
41,RETRACTED ARTICLE: Embedded task system and Gaussian mixture model in the analysis and application of user behavior in marketing management,"Wang, Xia",Wireless Networks,2021,10.1007/s11276-021-02697-w,2026-03-31,See publisher notice
42,"Retraction: “Direct numerical simulation of the Ekman layer: A step in Reynolds number, and cautious support for a log law with a shifted origin” [Phys. Fluids 20, 101507 (2008)]","Spalart, Philippe R.",Physics of Fluids,2009,10.1063/1.3247176,2023-06-29,See publisher notice
43,Retraction Note: Sarcopenia as a predictor of poor functional outcome of cervical spine surgery: A systematic review and meta-analysis,"Tayal, Anish",Neurosurgical Review,2026,10.1007/s10143-026-04247-4,2026-03-25,See publisher notice
44,RETRACTED: Deep learning network (DL-Net) based classification and segmentation of multi-class retinal diseases using OCT scans,"Nagamani, G. Muni",Biomedical Signal Processing and Control,2024,10.1016/j.bspc.2023.105619,2024-10-01,See publisher notice
45,Retraction Note: Void Hole Avoidance Based on Sink Mobility and Adaptive Two Hop Vector-Based Forwarding in Underwater Wireless Sensor Networks,"Rehman, Zia Ur",Wireless Personal Communications,2026,10.1007/s11277-026-11967-9,2026-03-30,See publisher notice
46,Retraction Note: Live Detection of Face Using Machine Learning with Multi-feature Method,"Kumar, Sandeep",Wireless Personal Communications,2026,10.1007/s11277-026-11975-9,2026-03-30,See publisher notice
47,Retraction Note: Performance and Analysis of Advanced and Enhanced Security Protocol for Vehicular Ad Hoc Networks (VANETs),"Ganesh, A.",Wireless Personal Communications,2026,10.1007/s11277-026-12000-9,2026-03-30,See publisher notice
48,RETRACTED: Microhardness profile prediction of a graded steel by strain gradient plasticity theory,"Nazari, Ali",Computational Materials Science,2011,10.1016/j.commatsci.2011.01.014,2025-10-15,See publisher notice
49,RETRACTED: Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial,"Gautret, Philippe",International Journal of Antimicrobial Agents,2020,10.1016/j.ijantimicag.2020.105949,2025-02-23,See publisher notice
50,"RETRACTED: Prospects of physical, mechanical, and advanced recycling of end-of-life polystyrenes: Towards full recyclability","Goshayeshi, Bahman",Current Opinion in Green and Sustainable Chemistry,2023,10.1016/j.cogsc.2023.100821,2025-11-10,See publisher notice
51,Retracted: De novo synthesis and assembly of multiplex riboswitches in vitro,"Sun, Hao‐Hua",Biotechnology Progress,2009,10.1002/btpr.224,2025-10-10,See publisher notice
52,Retraction Note to: Research on the Initial Arrival Recognition and Judgment Method of Microseismic Signals Based on PELT,"Wang, Xulin",Pure and Applied Geophysics,2026,10.1007/s00024-026-03936-x,2026-03-31,See publisher notice
53,Retraction Note: Evidence of near-ambient superconductivity in a N-doped lutetium hydride,"Dasenbrock-Gammon, Nathan",Nature,2023,10.1038/s41586-023-06774-2,2026-02-25,See publisher notice
54,RETRACTED ARTICLE: Trust aware secured energy efficient fuzzy clustering-based protocol in wireless sensor networks,"Kranthikumar, Bhukya",Soft Computing,2023,10.1007/s00500-023-08098-9,2026-01-13,See publisher notice
55,RETRACTED: Knockdown of long non-coding RNA HOXD-AS1 inhibits the progression of osteosarcoma,"Qu, Yang",Biomedicine &amp; Pharmacotherapy,2018,10.1016/j.biopha.2018.01.024,2025-10-10,See publisher notice
56,Retraction Note: Unveiling the genetic diversity and host specificities of rust: morphological and molecular characterization of Berberis species,"Uddin, Siraj",Genetic Resources and Crop Evolution,2026,10.1007/s10722-026-02785-w,2026-03-21,See publisher notice
57,RETRACTED: Towards a unified knowledge management framework for Global Environment Facility Small Grants Programme (GEF-SGP): Bridging global goals with local insights,"Mitra, Susmita",Environmental Development,2026,10.1016/j.envdev.2025.101364,2026-03-10,See publisher notice
58,Retraction: MiR-221/222 ameliorates deoxynivalenol-induced apoptosis and proliferation inhibition in intestinal epithelial cells by targeting PTEN,,Frontiers in Cell and Developmental Biology,2026,10.3389/fcell.2026.1788573,2026-01-21,See publisher notice
59,"RETRACTED: Beneficial effect of Caesalpinia pulcherrima linn., on diabetic neuropathy, cognitive dysfunction and cardiac complications in streptozotocin-induced diabetic rats","AnandaKumar, Seethakallu Ramachandraiah",Heliyon,2024,10.1016/j.heliyon.2024.e39774,2026-04-06,See publisher notice
60,Retraction Note: Grid sampling based hypergraph matching technique for multiple objects tracking in video frames,"Srinivasan, Palanivel",Multimedia Tools and Applications,2026,10.1007/s11042-026-21522-0,2026-04-08,See publisher notice
61,RETRACTED: High-intensity interval training modulates male factor infertility through anti-inflammatory and antioxidative mechanisms in infertile men: A randomized controlled trial,"Hajizadeh Maleki, Behzad",Cytokine,2020,10.1016/j.cyto.2019.154861,2025-10-19,See publisher notice
62,WITHDRAWN: Convolutional neural network use chest radiography images for identification of COVID-19,"Murali, D.",Materials Today: Proceedings,2020,10.1016/j.matpr.2020.10.866,2025-11-01,See publisher notice
63,Retraction Note: Predicting the site of origin of tumors by a gene expression signature derived from normal tissues,"Staub, E",Oncogene,2010,10.1038/onc.2010.184,2022-06-14,See publisher notice
64,Retraction Note: miR-661 expression in SNAI1-induced epithelial to mesenchymal transition contributes to breast cancer cell invasion by targeting Nectin-1 and StarD10 messengers,"Vetter, G",Oncogene,2015,10.1038/onc.2015.265,2022-06-14,See publisher notice
65,Retraction Note: Dishonesty is more affected by BMI status than by short-term changes in glucose,"Polizzi di Sorrentino, Eugenia",Scientific Reports,2021,10.1038/s41598-020-80528-2,2022-12-02,See publisher notice
66,WITHDRAWN: Porous Si3N4 ceramics with uniform microstructure fabricated by in-situ pre-gel casting combined with non-directional freeze-drying,"Zhang, Heng",Journal of the European Ceramic Society,2024,10.1016/j.jeurceramsoc.2024.117160,2024-12-25,See publisher notice
67,Retraction notice to “dietary fibre and phenolic-rich extracts from Musa paradisiaca inflorescence ameliorates type 2 diabetes and associated cardiovascular risks [J. Funct. Foods 31 (2017) 198–207]”,"Arun, K.B.",Journal of Functional Foods,2025,10.1016/j.jff.2025.106711,2025-03-10,See publisher notice
68,Retraction notice to “Effects of different storage conditions on chemical and physical properties of white mushrooms after vacuum cooling” [J. Food Eng. 77 (3) (December 2006) 545–549],"Tao, Fei",Journal of Food Engineering,2018,10.1016/j.jfoodeng.2018.03.001,2019-05-07,See publisher notice
69,Retraction notice to “Study of the filtration performance of a plain wave fabric filter using response surface methodology” [J. Hazard. Mater. 176 (2010) 559–568],"Qian, Fuping",Journal of Hazardous Materials,2010,10.1016/j.jhazmat.2010.07.001,2019-01-26,See publisher notice
70,"Retraction notice to “Layer silicates modified with 1,4-bis(3-aminopropyl)piperazine for the removal of Th(IV), U(VI) and Eu(III) from aqueous media” [J. Hazard. Mater. 171 (2009) 514–523]","Guerra, Denis L.",Journal of Hazardous Materials,2011,10.1016/j.jhazmat.2011.03.012,2019-01-26,See publisher notice
71,Clinical and CT imaging features of 2019 novel coronavirus disease (COVID-19),"Zhu, Ying",Journal of Infection,2020,10.1016/j.jinf.2020.03.033,2025-09-27,See publisher notice
72,Retraction notice to: “Complex Bogoslovsky Finsler Metrics” [J. Math. Anal. Appl. 391 (1) (2012) 159–169],"Peyghana, E.",Journal of Mathematical Analysis and Applications,2013,10.1016/j.jmaa.2012.09.037,2019-01-22,See publisher notice
73,RETRACTED: Extreme oceanographic events recorded in the southwest coast of India during the 1998–1999 summer season,"Krishna, K. Muni",Journal of Marine Systems,2010,10.1016/j.jmarsys.2009.07.003,2025-10-13,See publisher notice
74,WITHDRAWN: Computer simulation of the thermal regime of double-loop channel induction furnaces,"Ghojel, J.I.",Journal of Materials Processing Technology,2004,10.1016/j.jmatprotec.2004.04.356,2020-04-02,See publisher notice
75,RETRACTED: Fabrication and electromagnetic characteristics of microwave absorbers containing Li0.35Zn0.3Fe2.35O4 micro-belts and nickel-coated carbon fibers,"Zhao, Bin",Journal of Magnetism and Magnetic Materials,2013,10.1016/j.jmmm.2013.06.017,2019-07-17,See publisher notice
76,RETRACTED: Gd substituted NiCa ferrite/poly vinyl alcohol nanocomposite,"Prasad, Arun S.",Journal of Magnetism and Magnetic Materials,2015,10.1016/j.jmmm.2015.05.055,2019-05-07,See publisher notice
77,WITHDRAWN: A comparative study of hydrogen-induced cracking resistances of API 5L B and X52MS carbon steels,"Figueredo, Rodrigo Monzon",Journal of Materials Research and Technology,2019,10.1016/j.jmrt.2018.08.015,2025-11-06,See publisher notice
78,WITHDRAWN: The accurate transition dipole moment and line intensities of NO(X2Π) based on averaged quadratic coupled-cluster calculations,"Chen, Huajun",Journal of Molecular Spectroscopy,2013,10.1016/j.jms.2013.10.003,2025-09-19,See publisher notice
79,WITHDRAWN: Unicondylar knee replacement versus total knee replacement for the treatment of medial knee osteoarthritis: A systematic review and meta-analysis,"Deng, Meichao",Journal of Orthopaedics,2020,10.1016/j.jor.2020.08.009,2025-10-19,See publisher notice
80,SOGC Guideline Retirement Notice No. 8,,Journal of Obstetrics and Gynaecology Canada,2024,10.1016/j.jogc.2024.102597,2024-07-12,See publisher notice
81,"WITHDRAWN: Optimized Structures and Ring Strain Energies of Isoelectronic Homo- and Heterogermiranes c-AX2GeH2GeH2q (A/q = Ga/–1, Ge/0, As/+1): Variable Trends Across Triads","Allard, Christina L.",Journal of Organometallic Chemistry,2013,10.1016/j.jorganchem.2013.04.012,2025-09-20,See publisher notice
82,"WITHDRAWN: Synthesis 6%Mn/ZnO as super-rapid-adsorbent-photocatalyst (SRAP): remove azo dyes in darkness and under visible light, adsorption isotherms and kinetics study","Shahbazkhany, Saeedeh",Journal of Photochemistry and Photobiology B: Biology,2020,10.1016/j.jphotobiol.2020.112007,2025-10-19,See publisher notice
83,Erratum to “Economic reform when institutional quality is weak: The case of the Maghreb” [J. Policy Model. 29 (1) (2007) 65–79],"Baliamoune-Lutz, Mina",Journal of Policy Modeling,2007,10.1016/j.jpolmod.2006.04.015,2025-09-27,See publisher notice
84,WITHDRAWN: A ‘Sea anemone’ onychomatricoma,"Zhu, Xi Ming",JPRAS Open,2020,10.1016/j.jpra.2020.07.002,2025-11-07,See publisher notice
85,RETRACTED: Left hemisphere lateralization of the limbic system and frontoparietal network (FPN) correlates with positive and negative symptom improvement following cannabidiol (CBD) administration in psychosis and ultra-high risk (UHR) populations: A voxel-wise meta-analysis,"Pierce, Zachary P.",Journal of Psychiatric Research,2024,10.1016/j.jpsychires.2024.05.029,2024-09-02,See publisher notice
86,"WITHDRAWN: Création du Comité interministériel du handicap, 4 novembre 2009",,Journal de Réadaptation Médicale : Pratique et Formation en Médecine Physique et de Réadaptation,2010,10.1016/j.jrm.2010.01.007,2025-10-01,See publisher notice
87,WITHDRAWN: Expression and functional characterization of guanylyl cyclase C receptor in HepG2 cells: Two-step regulation by dexamethasone and hepatocyte nuclear factor 4 (HNF4),"Basu, Arindam",The Journal of Steroid Biochemistry and Molecular Biology,2012,10.1016/j.jsbmb.2012.06.003,2025-10-17,See publisher notice
88,WITHDRAWN: Multi-walled carbon nanotube-acetophenone oxime functionalized copolymer–carbon paste electrode for potentiometric determination of silver (I) ion,"Gilani, Nastaran Sohrabi",Journal of Saudi Chemical Society,2015,10.1016/j.jscs.2015.04.001,2025-01-06,See publisher notice
89,RETRACTED: Melatonin alleviates acute spinal cord injury in rats through promoting on progenitor cells proliferation,"Zheng, Bolong",Saudi Pharmaceutical Journal,2017,10.1016/j.jsps.2017.04.025,2025-01-06,See publisher notice
90,Withdrawn: The effects of MiR-223 on the sensitivity of non-small cell lung cancer cells to erlotinib and its underlying mechanisms,"Du, Xiaoyuan",Saudi Pharmaceutical Journal,2017,10.1016/j.jsps.2017.04.031,2025-01-06,See publisher notice
91,Retraction notice to: “Flap side edge noise modeling and prediction” [J. Sound Vibr. 332 (2013) 3846–3868],"Guo, Yueping",Journal of Sound and Vibration,2014,10.1016/j.jsv.2014.04.002,2019-05-07,See publisher notice
92,WITHDRAWN: Surgically induced myocardial ischemia: How best to mitigate the injury,"del Nido, Pedro J.",The Journal of Thoracic and Cardiovascular Surgery,2017,10.1016/j.jtcvs.2016.09.094,2020-10-02,See publisher notice
93,"REMOVED: False aneurysm of the facial artery as complication of sagittal split osteotomy, [Journal of Cranio-Maxillofacial Surgery. Volume 36, Issue 3, April 2008, Pages 180–182]","Pappa, Helena",Journal of Cranio-Maxillofacial Surgery,2017,10.1016/j.jcms.2017.06.009,2025-10-19,See publisher notice
94,WITHDRAWN: Mechanisms and environmental implications of strontium distribution in bentonite-colloid-water systems,"Cai, Fangfei",Journal of Environmental Chemical Engineering,2025,10.1016/j.jece.2025.117627,2025-11-08,See publisher notice
95,Retraction notice to “4-dimethylaminopyridine: Discovery of a co-reactant system providing outstanding and reliable emission in electrochemiluminescence” [J. Electroanal. Chem. 921 (2022) 116507],"Pham, Nguyen Sy",Journal of Electroanalytical Chemistry,2024,10.1016/j.jelechem.2023.117970,2025-10-28,See publisher notice
96,Retraction notice to “Sustainability with environmental policy stringency and financial development for green technological innovations: Evidence from Sub-Saharan Africa” [J. Environ. Manag. 373 (2025) 123429],"Fatima, Nudrat",Journal of Environmental Management,2025,10.1016/j.jenvman.2025.125254,2025-07-03,See publisher notice
97,WITHDRAWN: Synthesis of Sr0.5Ba0.5Nb2O6 by citrate gel method,"Pasricha, Renu",Materials Chemistry and Physics,2005,10.1016/j.matchemphys.2005.04.003,2025-10-01,See publisher notice
98,WITHDRAWN: Facile synthesis of Pt nanocrystals with controllable nanostructures and dominant facets as highly active electrocatalysts for ethanol and ethylene glycol oxidation,"Hu, Chao",Materials Chemistry and Physics,2019,10.1016/j.matchemphys.2019.122460,2025-10-01,See publisher notice
99,"RETRACTED: Motion of hybrid nanofluid
                    <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"" id=""d1e390"" altimg=""si3.svg"">
                      <mml:mrow>
                        <mml:mo>(</mml:mo>
                        <mml:mtext>MnZnF</mml:mtext>
                        <mml:msub>
                          <mml:mrow>
                            <mml:mi mathvariant=""normal"">e</mml:mi>
                          </mml:mrow>
                          <mml:mrow>
                            <mml:mn>2</mml:mn>
                          </mml:mrow>
                        </mml:msub>
                        <mml:msub>
                          <mml:mrow>
                            <mml:mi mathvariant=""normal"">O</mml:mi>
                          </mml:mrow>
                          <mml:mrow>
                            <mml:mn>4</mml:mn>
                          </mml:mrow>
                        </mml:msub>
                        <mml:mtext>–NiZnF</mml:mtext>
                        <mml:msub>
                          <mml:mrow>
                            <mml:mi mathvariant=""normal"">e</mml:mi>
                          </mml:mrow>
                          <mml:mrow>
                            <mml:mn>2</mml:mn>
                          </mml:mrow>
                        </mml:msub>
                        <mml:msub>
                          <mml:mrow>
                            <mml:mi mathvariant=""normal"">O</mml:mi>
                          </mml:mrow>
                          <mml:mrow>
                            <mml:mn>4</mml:mn>
                          </mml:mrow>
                        </mml:msub>
                        <mml:mtext>–</mml:mtext>
                        <mml:msub>
                          <mml:mrow>
                            <mml:mi mathvariant=""normal"">H</mml:mi>
                          </mml:mrow>
                          <mml:mrow>
                            <mml:mn>2</mml:mn>
                          </mml:mrow>
                        </mml:msub>
                        <mml:mi mathvariant=""normal"">O</mml:mi>
                        <mml:mo>)</mml:mo>
                      </mml:mrow>
                    </mml:math>
                    with homogeneous–heterogeneous reaction: Marangoni convection","Li, Yi-Xia",Mathematics and Computers in Simulation,2021,10.1016/j.matcom.2021.07.017,2024-12-02,See publisher notice
100,RETRACTED: Ecofriendly energy efficient welding of aluminium matrix composites for aerospace applications: A state of art review,"Kumar, Niraj",Materials Today: Proceedings,2020,10.1016/j.matpr.2020.02.352,2025-11-01,See publisher notice
