Record_ID,Title,Author,Journal,Year,DOI,Retraction_Date,Reason
101,&lt;p&gt;Polydatin exerts anti-tumor effects against renal cell carcinoma cells via induction of caspase-dependent apoptosis and inhibition of the PI3K/Akt pathway [Retraction]&lt;/p&gt;,"Jin, Yi-Li",OncoTargets and Therapy,2019,10.2147/ott.s216516,2019-06-03,See publisher notice
102,Retraction,,Journal of Clinical Oncology,2011,10.1200/jco.2011.40.2107,2022-05-25,See publisher notice
103,Retraction: Nuclear Receptors as Targets for Drug Development: Crosstalk Between Peroxisome Proliferator-Activated Receptor ^|^gamma; and Cytokines in Bone Marrow-Derived Mesenchymal Stem Cells,"Takada, Ichiro",Journal of Pharmacological Sciences,2013,10.1254/jphs.097184rt,2021-05-19,See publisher notice
104,"Retraction: Pharmacokinetic Interaction of Paeoniflorin and Sinomenine: Pharmacokinetic Parameters and Tissue Distribution Characteristics in Rats and Protein Binding Ability In Vitro  Retraction: Erratum to J Pharmacol Sci 99, 381-391 (2005)","Liu, Zhong Qiu",Journal of Pharmacological Sciences,2007,10.1254/jphs.rt0994381,2021-05-19,See publisher notice
105,Retracted: Phosphorylated Glycogen Synthase Kinase-3β (GSK-3β) Improves Cognition in Rats with Diabetes-Associated Cognitive Decline,"Ke, Boxi",Medical Science Monitor,2019,10.12659/msm.919343,2019-08-21,See publisher notice
106,Retraction: 24-Hour Rhythms of DNA Methylation and Their Relation with Rhythms of RNA Expression in the Human Dorsolateral Prefrontal Cortex,"Lim, Andrew S. P.",PLOS Genetics,2021,10.1371/journal.pgen.1009895,2021-11-04,See publisher notice
107,"Retraction: Magnitude and associated factors of mortality among patients admitted with COVID-19 in Addis Ababa, Ethiopia",,PLOS Global Public Health,2024,10.1371/journal.pgph.0003279,2024-05-16,See publisher notice
108,Retraction: Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor,,PLOS ONE,2018,10.1371/journal.pone.0199803,2018-10-22,See publisher notice
109,Retraction: Grape Seed Proanthocyanidins Inhibit the Invasiveness of Human HNSCC Cells by Targeting EGFR and Reversing the Epithelial-To-Mesenchymal Transition,,PLOS ONE,2018,10.1371/journal.pone.0210346,2020-05-08,See publisher notice
110,Retraction: Fluid–Structure Interaction-Based Biomechanical Perception Model for Tactile Sensing,,PLOS ONE,2019,10.1371/journal.pone.0224189,2020-05-09,See publisher notice
111,Retraction: Mutations in the Fusion Protein Cleavage Site of Avian Paramyxovirus Serotype 4 Confer Increased Replication and Syncytium Formation In Vitro but Not Increased Replication and Pathogenicity in Chickens and Ducks,,PLOS ONE,2020,10.1371/journal.pone.0244076,2020-12-14,See publisher notice
112,Retraction: SUMOylation of Mouse p53b by SUMO-1 Promotes Its Pro-Apoptotic Function in Ovarian Granulosa Cells,,PLOS ONE,2021,10.1371/journal.pone.0248927,2021-03-16,See publisher notice
113,Retraction Note: Comparison of two FDA-approved interspinous spacers for treatment of lumbar spinal stenosis: Superion versus X-STOP—a meta-analysis from five randomized controlled trial studies,"Zhao, He",Journal of Orthopaedic Surgery and Research,2018,10.1186/s13018-018-0845-7,2019-10-18,See publisher notice
114,Retraction Note: Assessing cardiorespiratory fitness of soccer players: is test specificity the issue?–a review,"Jemni, Monèm",Sports Medicine - Open,2019,10.1186/s40798-019-0217-9,2020-10-15,See publisher notice
115,Retraction Note: Fatal factitious Cushing syndrome (Münchhausen’s syndrome) in a patient with macroprolactinoma and silent corticotrophinoma: case report and literature review,"Minanni, Carlos André",Clinical Diabetes and Endocrinology,2016,10.1186/s40842-016-0022-z,2017-06-26,See publisher notice
116,Retraction Note: A brief history of human evolution: challenging Darwin’s claim,"Umer, Sarah",International Journal of Anthropology and Ethnology,2019,10.1186/s41257-019-0017-7,2020-02-18,See publisher notice
117,New Light on Intravascular Volume Replacement Regimens: What Did We Learn from the Past Three Years?: Retraction,,Anesthesia &amp; Analgesia,2020,10.1213/ane.0000000000005020,2023-07-21,See publisher notice
118,Retraction: Antioxidant-induced modification of INrf2 cysteine 151 and PKC-δ-mediated phosphorylation of Nrf2 serine 40 are both required for stabilization and nuclear translocation of Nrf2 and increased drug resistance,"Niture, Suryakant K.",Journal of Cell Science,2017,10.1242/jcs.202093,2024-07-19,See publisher notice
119,Retraction: Arg tyrosine kinase modulates TGF-β1 production in human renal tubular cells under high-glucose conditions,"Torsello, Barbara",Journal of Cell Science,2020,10.1242/jcs.254847,2024-06-13,See publisher notice
120,RETRACTED: A low-cost in-house HIV integrase strand transfer inhibitor drug resistance test for resource-limited settings,"Onwong'a, Vera M.",F1000Research,2021,10.12688/f1000research.52954.1,2022-02-17,See publisher notice
121,Hiding multi-level multi-color images in terahertz metasurfaces: retraction,"Chanana, Ashish",Optica,2020,10.1364/optica.401388,2024-08-06,See publisher notice
122,"Retraction: Research on College Students’ Innovation and Entrepreneurship Education Based on Computer Multimedia Technology (J. Phys.: Conf. Ser.
                  1648 032023)",,Journal of Physics: Conference Series,2020,10.1088/1742-6596/1648/3/032206,2024-08-20,See publisher notice
123,"Retraction: Research on Internal Control Demand, Supply and Supervision of Chinese Listed Companies based on Big Data Analysis (J. Phys.: Conf. Ser.
                  1648 032044)",,Journal of Physics: Conference Series,2020,10.1088/1742-6596/1648/3/032214,2024-08-20,See publisher notice
124,"Retraction: Research on the Influencing Factors of Higher Nursing Education in the Connection of Clinical Practice under Computer-aided Technology (J. Phys.: Conf. Ser.
                  1648 032062)",,Journal of Physics: Conference Series,2020,10.1088/1742-6596/1648/3/032217,2024-08-20,See publisher notice
125,"Retraction: Advances in Plant Genetic Engineering Based on the Analysis of Big Data from the Perspective of Biological Mechanism (J. Phys.: Conf. Ser.
                  1744 022086)",,Journal of Physics: Conference Series,2021,10.1088/1742-6596/1744/2/022152,2024-08-20,See publisher notice
126,"Retraction: Opportunities Challenges Countermeasures: Physical Health Promotion of College Students in the Era of Big Data (J. Phys.: Conf. Ser.
                  1744 042244)",,Journal of Physics: Conference Series,2021,10.1088/1742-6596/1744/4/042280,2024-08-20,See publisher notice
127,"Retraction: Machine Learning Based Classification Models for Heart Disease Prediction (J. Phys.: Conf. Ser
                  1916 012092)",,Journal of Physics: Conference Series,2021,10.1088/1742-6596/1916/1/012236,2024-08-20,See publisher notice
128,"Retraction: A Safety Measuring Tool to Maintain Social Distancing On COVID-19 Using Deep Learning Approach (J. Phys.: Conf. Ser.
                  1916 012122)",,Journal of Physics: Conference Series,2021,10.1088/1742-6596/1916/1/012361,2024-08-20,See publisher notice
129,"Retraction: Power factor correction based EV battery charger using a bridgeless isolated SEPIC converter (J. Phys.: Conf. Ser.
                  1916 012143)",,Journal of Physics: Conference Series,2021,10.1088/1742-6596/1916/1/012382,2024-08-20,See publisher notice
130,"Retraction: Ensemble Modeling on Job Scam Detection (J. Phys.: Conf. Ser.
                  1916 012167)",,Journal of Physics: Conference Series,2021,10.1088/1742-6596/1916/1/012405,2024-08-20,See publisher notice
131,"Retraction: Research on the Application Value of Orff Music Education System in College Music Education Based on Computer New Media Technology (J. Phys.: Conf. Ser.
                  1992 032032)",,Journal of Physics: Conference Series,2021,10.1088/1742-6596/1992/3/032158,2024-08-20,See publisher notice
132,"Retraction: Smart Health Monitoring Bodyarea Network Using Raspberry Pi (J. Phys.: Conf. Ser.
                  1916 012218)",,Journal of Physics: Conference Series,2021,10.1088/1742-6596/1916/1/012455,2024-08-20,See publisher notice
133,"Retraction: Fake News Detection on Social Media Using Machine Learning (J. Phys.: Conf. Ser.
                  1916 012235)",,Journal of Physics: Conference Series,2021,10.1088/1742-6596/1916/1/012472,2024-08-20,See publisher notice
134,NOTICE OF RETRACTION: The Journal regretfully retracts the following paper: A Feasibility Study of a Top-Casing Electric Source Method for Detecting and Imaging a Shallow Hydraulically-Active Fractured Zone: 3D Finite Element Direct Current Modeling Approach,"Um, Evan Schankee",Geophysical Journal International,2019,10.1093/gji/ggx431,2019-04-07,See publisher notice
135,The Crisis of Zionism. By Peter Beinart,,Journal of Church and State,2013,10.1093/jcs/cst044,2019-11-14,See publisher notice
136,"Corruption, Economic Analysis and International Law. By MARCO ARNONE and LEONARDO S. BORLINI","Micara, Anna G.",Journal of International Economic Law,2016,10.1093/jiel/jgw066,2017-01-13,See publisher notice
137,"Withdrawn: A new record of longicorn beetle, Acanthophorus rugiceps, from India as a root borer on physic nut, Jatropha curcas, with a description of life stages, biology, and seasonal dynamics","Prabhakar, Mathyam",Journal of Insect Science,2013,10.1093/jis/13.1.119,2017-08-23,See publisher notice
138,Retracted: Regenerative Medicine for Neurological Disorders,,The Scientific World Journal,2012,10.1100/2012/952182,2024-01-06,See publisher notice
139,"Retraction: Casimir frictional drag force between a
                    <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"">
                      <mml:msub>
                        <mml:mi>SiO</mml:mi>
                        <mml:mn>2</mml:mn>
                      </mml:msub>
                    </mml:math>
                    tip and a graphene-covered
                    <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"">
                      <mml:msub>
                        <mml:mi>SiO</mml:mi>
                        <mml:mn>2</mml:mn>
                      </mml:msub>
                    </mml:math>
                    substrate [Phys. Rev. B
                    <b>94</b>
                    , 235450 (2016)]","Volokitin, A. I.",Physical Review B,2020,10.1103/physrevb.101.049902,2020-01-03,See publisher notice
140,"Retraction: Spherically symmetric solutions, Newton’s law, and the infrared limit
                    <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline"">
                      <mml:mi>λ</mml:mi>
                      <mml:mo>→</mml:mo>
                      <mml:mn>1</mml:mn>
                    </mml:math>
                    in covariant Horava-Lifshitz gravity [Phys. Rev. D
                    <b>84</b>
                    , 084020 (2011)]","Alexandre, Jean",Physical Review D,2012,10.1103/physrevd.86.049905,2017-04-05,See publisher notice
141,"Retraction: Anomalous Melting Scenario of the Two-Dimensional Core-Softened System [Phys. Rev. Lett.
                    <b>112</b>
                    , 157803 (2014)]","Dudalov, D. E.",Physical Review Letters,2014,10.1103/physrevlett.113.239901,2025-01-02,See publisher notice
142,Retraction notice,,Kybernetes,2014,10.1108/k-06-2014-005,2025-07-24,See publisher notice
143,Notice of Retraction: Urban Niche Expansion Estimation Research under mode of recycling economy,"Suo, Guibin","2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6009696,2021-12-23,See publisher notice
144,Notice of Retraction: Practical exploration on developing the capability of postgraduates,"Wei, Chongyu","2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6009704,2019-06-10,See publisher notice
145,Notice of Retraction: Taxpayer compliance in China: A prospect theory analysis,Hua Liu,"2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6009750,2021-12-23,See publisher notice
146,Notice of Retraction: Study on the risks of clusters and risk prevention from the collective perspective,Guan Zhou,"2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6009709,2019-06-10,See publisher notice
147,Notice of Retraction: Turbocharger parts in a multi-enterprise manufacturing and quality control of production,"Qiu, Li-jun","2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6009924,2019-06-10,See publisher notice
148,Notice of Retraction: Use ‘SMATR’ package of R to analysis the variation of plant leaf functional traits under contracting nutrient supply in Horqin Sandy Land,"Mao, Wei","2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6009934,2019-06-10,See publisher notice
149,Notice of Retraction: Nonlinear dynamical analyses for the beam-column structure,Wen-Hao Han,"2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6010090,2019-06-10,See publisher notice
150,Notice of Retraction: Research about dynamic inflation object impacting on our country's economy,Qi-lin Wu,"2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6010132,2021-12-05,See publisher notice
151,Notice of Retraction: Coal mine safety management system based on the chart analysis method,"Jing, Guo-xun","2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6010178,2019-06-10,See publisher notice
152,Efficacy of E-Business ecological chain,Cequn Lou,"2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6010819,2017-03-21,See publisher notice
153,Notice of Retraction: The analysis of labor relation of the teachers in independent colleges,Liling Wu,"2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6010941,2021-12-23,See publisher notice
154,Notice of Retraction: Ethical concerns on the value of students perception — Taking College English teaching as an example,"Sumin, Nie","2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6011041,2019-06-10,See publisher notice
155,"Notice of Retraction: Study on the development of resort real estate based on a survey in GuangZhou, China",Tong Wen,"2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6011090,2019-06-10,See publisher notice
156,Notice of Retraction: Theoretical and applied research of water bank on the water resources development and utilization in Chaohe river basin,Changying Shi,"2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6011267,2021-12-22,See publisher notice
157,Notice of Retraction: Electricity Load Forecasting based on Energy-Saving and Emission Reduction,"Gu, Jie",2010 Asia-Pacific Power and Energy Engineering Conference,2010,10.1109/appeec.2010.5448669,2019-06-10,See publisher notice
158,Notice of Retraction: Application of Network Technique in Transformer Fault Diagnosis,"Yang, Qi-ping",2010 Asia-Pacific Power and Energy Engineering Conference,2010,10.1109/appeec.2010.5448698,2019-06-10,See publisher notice
159,Notice of Retraction: Management Innovation of SMEs during the post-crisis time,Weiyu Chen,"2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)",2011,10.1109/aimsec.2011.6011409,2024-03-13,See publisher notice
160,Notice of Retraction: Strategy on Eliminating Transformer Bias Magnet in Push-Pull Forward Converter,"Jia, Dandan",2009 Asia-Pacific Power and Energy Engineering Conference,2009,10.1109/appeec.2009.4918784,2019-06-10,See publisher notice
161,Notice of Violation of IEEE Publication Principles: Detecting New Trends in Terrorist Networks,"Wiil, Uffe Kock",2010 International Conference on Advances in Social Networks Analysis and Mining,2010,10.1109/asonam.2010.73,2020-02-05,See publisher notice
162,Notice of Retraction: A Learning Tool of Genetic Algorithm,"Li, Jing",2010 Second International Workshop on Education Technology and Computer Science,2010,10.1109/etcs.2010.251,2019-06-10,See publisher notice
163,Notice of Retraction: Waste Water Treatment by Modified Fly Ash,"Li, Huan",2011 5th International Conference on Bioinformatics and Biomedical Engineering,2011,10.1109/icbbe.2011.5781112,2021-12-23,See publisher notice
164,Notice of Retraction: Synthesis and Characterization of Cationic Polyacrylamide Emulsion as Flocculant,"Wang, Yufeng",2011 5th International Conference on Bioinformatics and Biomedical Engineering,2011,10.1109/icbbe.2011.5781121,2019-06-10,See publisher notice
165,Notice of Retraction: Investigations of Copper Corrosion Inhibition in Citric Acid by PASP Using Steady Polarization,"He, Rui",2011 5th International Conference on Bioinformatics and Biomedical Engineering,2011,10.1109/icbbe.2011.5781227,2019-06-10,See publisher notice
166,Notice of Retraction: Ventilation Air Methane Recovery by Pressure Swing Adsorption,"Liu, Yingshu",2011 5th International Conference on Bioinformatics and Biomedical Engineering,2011,10.1109/icbbe.2011.5781248,2019-06-10,See publisher notice
167,Notice of Retraction: Enhancing Phytoremediation of Heavy Metals Contaminated Soils,"Su, Xiao-lang",2011 5th International Conference on Bioinformatics and Biomedical Engineering,2011,10.1109/icbbe.2011.5781358,2021-12-22,See publisher notice
168,Notice of Retraction: Isolation and Properties of Cypermethrin-Degrading Acinetobacter junii ML9,"Zheng, Lingling",2011 5th International Conference on Bioinformatics and Biomedical Engineering,2011,10.1109/icbbe.2011.5781367,2019-06-10,See publisher notice
169,Notice of Retraction: Comparative Environmental Assessments of Hospital Waste Management Systems,"Zhao, Wei",2011 5th International Conference on Bioinformatics and Biomedical Engineering,2011,10.1109/icbbe.2011.5781386,2019-06-10,See publisher notice
170,Notice of Retraction: The Preparation and Characterization of Red Mud-Based Porous Materials with Pore-Forming Agents,"Guo, Wenmin",2011 5th International Conference on Bioinformatics and Biomedical Engineering,2011,10.1109/icbbe.2011.5781454,2019-06-10,See publisher notice
171,"Disposal of Residential Pharmaceutical Waste: An Initial Survey on Attitudes, Behaviors and Risk Perception in Portugal","Martinho, Maria da Graca",2011 5th International Conference on Bioinformatics and Biomedical Engineering,2011,10.1109/icbbe.2011.5781493,2019-02-25,See publisher notice
172,Notice of Retraction: Mutagenic Action of Milbemycin oxime,"Qu, Mingli",2011 5th International Conference on Bioinformatics and Biomedical Engineering,2011,10.1109/icbbe.2011.5781525,2024-04-07,See publisher notice
173,Notice of Retraction: Latest Human Resources management concepts and practices,Dong Haoping,2011 International Conference on Business Management and Electronic Information,2011,10.1109/icbmei.2011.5920527,2021-12-23,See publisher notice
174,Notice of Retraction: Study on Rainwater Utilization in Eco-Area,"Peng, Chenrui",2011 5th International Conference on Bioinformatics and Biomedical Engineering,2011,10.1109/icbbe.2011.5781630,2019-06-10,See publisher notice
175,Notice of Retraction: Factors that affect the growth of farmers' income,"Weian, Du",2011 International Conference on Business Management and Electronic Information,2011,10.1109/icbmei.2011.5917867,2021-12-23,See publisher notice
176,Notice of Retraction: A study of customer behavior base on the psychological contract violation for example with tourism,Yang Lin,2011 International Conference on Business Management and Electronic Information,2011,10.1109/icbmei.2011.5920342,2019-06-10,See publisher notice
177,Notice of Retraction: The Potential Geographic Distribution of the Invasive Weed Eupatorium adenophorum Spreng in China,"Tan, Yongqin",2011 5th International Conference on Bioinformatics and Biomedical Engineering,2011,10.1109/icbbe.2011.5781660,2025-03-05,See publisher notice
178,Notice of Retraction: Damage identification based on wavelet packets &amp; Frequency Response Function,Song Zishou,2010 International Conference on Computer Application and System Modeling (ICCASM 2010),2010,10.1109/iccasm.2010.5619994,2019-06-10,See publisher notice
179,Notice of Retraction: The application of WEIBULL distribution function in stand diameter growth and mortality,Gong Zhi-wen,2010 International Conference on Computer Application and System Modeling (ICCASM 2010),2010,10.1109/iccasm.2010.5620040,2020-06-13,See publisher notice
180,Notice of Retraction: Noninvasive glucose monitoring in vivo based on Monte Carlo modeling,Li Xia Yu,2010 International Conference on Computer Application and System Modeling (ICCASM 2010),2010,10.1109/iccasm.2010.5620452,2019-06-10,See publisher notice
181,Notice of Retraction: Predictions of maximum forging load and effective stress for strain-hardening material of near net-shape helical gear forging,Tung-Sheng Yang,2010 2nd International Conference on Computer Engineering and Technology,2010,10.1109/iccet.2010.5486011,2019-06-10,See publisher notice
182,Notice of Retraction: Conceptual Framework for a Heuristics Based Methodology for Interface Evaluation of Educational Games,"Omar, Hasiah Mohamed",2009 International Conference on Computer Technology and Development,2009,10.1109/icctd.2009.249,2019-06-10,See publisher notice
183,Notice of Retraction: Preparation and Electromechanical Performance Analysis of Self-healing Electrostrictive Polymer,"Zhang, Zhanxi",2020 IEEE 3rd International Conference on Dielectrics (ICD),2020,10.1109/icd46958.2020.9341837,2022-06-27,See publisher notice
184,Notice of Retraction: The obstacles and measures for the implementation of the Partnering Mode in project management,"Wenqin, Li",2011 International Conference on E-Business and E-Government (ICEE),2011,10.1109/icebeg.2011.5885342,2019-06-10,See publisher notice
185,Notice of Retraction: Study on the effect of foreign investment enterprise on WUxi local economic,"Yuan, Jiang",2011 International Conference on E-Business and E-Government (ICEE),2011,10.1109/icebeg.2011.5882692,2019-06-10,See publisher notice
186,Notice of Retraction: The current situation analyses and lifting countermeasure of regional innovation capacity in Hebei,"Ling, Wang Jun",2011 International Conference on E-Business and E-Government (ICEE),2011,10.1109/icebeg.2011.5882711,2019-06-10,See publisher notice
187,Notice of Retraction: Quality control study of construction equipment installation project,"Wu, Weihong",2011 International Conference on E-Business and E-Government (ICEE),2011,10.1109/icebeg.2011.5884519,2019-06-10,See publisher notice
188,Notice of Retraction: Empirical research on the effect on listing corporation from different industry of RMB appreciation,"Yi, Zhou",2011 International Conference on E-Business and E-Government (ICEE),2011,10.1109/icebeg.2011.5882347,2019-06-10,See publisher notice
189,Notice of Retraction: Practice and consideration on computer network course of electronics specialty,"Xin, Xia",2011 International Conference on E-Business and E-Government (ICEE),2011,10.1109/icebeg.2011.5887131,2019-06-10,See publisher notice
190,Notice of Retraction: Enhancing foreign language teaching in engineering education,Yan-li Zhang,2010 International Conference on Educational and Information Technology,2010,10.1109/iceit.2010.5607566,2021-12-23,See publisher notice
191,Notice of Retraction Research on elements restricting citizenization of new generation migrant workers and strategy,"Bo, Zhao",2011 International Conference on Electrical and Control Engineering,2011,10.1109/iceceng.2011.6058078,2021-12-22,See publisher notice
192,Notice of Retraction: The competitive advantage research of small and medium-sized enterprise in internationalization growth,"Shu-wang, Yang",2011 International Conference on E-Business and E-Government (ICEE),2011,10.1109/icebeg.2011.5887196,2021-12-23,See publisher notice
193,Notice of Retraction: Construction of network course in university,"Liejun, Wang",2011 International Conference on E-Business and E-Government (ICEE),2011,10.1109/icebeg.2011.5887058,2019-06-10,See publisher notice
194,Notice of Violation of IEEE Publication Principles: Research on Reliability of Distribution Network Based on Grid Cyber-Physical System and Telecontrol System,"Guo, Yunfei",2017 IEEE International Conference on Energy Internet (ICEI),2017,10.1109/icei.2017.52,2020-04-17,See publisher notice
195,Notice of Retraction: Study of nonlinear isolator dynamic and static characteristics,"Jiang, Meihua",2011 International Conference on Electric Information and Control Engineering,2011,10.1109/iceice.2011.5776935,2019-06-10,See publisher notice
196,Notice of Retraction: The design of motor data acquisition and control system based on DSP,Zhu Gui-xian,2011 International Conference on Electric Information and Control Engineering,2011,10.1109/iceice.2011.5777477,2019-06-10,See publisher notice
197,Notice of Retraction: On the model of autonomous english learning based on Blackboard Academic Suite,Zhang Jian,2010 International Conference on Educational and Information Technology,2010,10.1109/iceit.2010.5607725,2019-06-10,See publisher notice
198,Notice of Retraction: Effects of technical and vocational school teachers' self-efficacy in creative teaching and creative teaching efficacy: Using organizational innovative climate as a mediator variable,Chun-Mei Chou,2010 International Conference on Educational and Information Technology,2010,10.1109/iceit.2010.5608415,2019-06-10,See publisher notice
199,Notice of Retraction: The economic model and empirical analysis of urban social capital in China: 1988–2008,"Wang, Wenqin",2011 International Conference on E-Business and E-Government (ICEE),2011,10.1109/icebeg.2011.5887202,2019-06-10,See publisher notice
200,Notice of Retraction: The review and prospect of theoretical research on knowledge integration,"Jie-mei, Zhang",2011 International Conference on E-Business and E-Government (ICEE),2011,10.1109/icebeg.2011.5887226,2021-12-23,See publisher notice
